velocity_threshold,angle_threshold,ratio_threshold,min_event_frames,accuracy,sensitivity_fall_recall,specificity_not_fall_recall,macro_precision,macro_recall,macro_f1,fall_precision,fall_recall,fall_f1,not_fall_precision,not_fall_recall,not_fall_f1,tn,fp,fn,tp
579.6423,45.0,1.0,1,0.46472019464720193,0.022271714922048998,0.9973190348525469,0.6838919403654299,0.509795374887298,0.3359283196239718,0.9090909090909091,0.022271714922048998,0.043478260869565216,0.45869297163995065,0.9973190348525469,0.6283783783783784,372,1,439,10
589.1447,45.0,1.0,1,0.46472019464720193,0.022271714922048998,0.9973190348525469,0.6838919403654299,0.509795374887298,0.3359283196239718,0.9090909090909091,0.022271714922048998,0.043478260869565216,0.45869297163995065,0.9973190348525469,0.6283783783783784,372,1,439,10
617.6517,45.0,1.0,1,0.4635036496350365,0.017817371937639197,1.0,0.7291154791154791,0.5089086859688196,0.33174304417476713,1.0,0.017817371937639197,0.0350109409190372,0.4582309582309582,1.0,0.628475147430497,373,0,441,8
598.647,45.0,1.0,1,0.46228710462287104,0.017817371937639197,0.9973190348525469,0.6732267322673227,0.507568203395093,0.3311266080988534,0.8888888888888888,0.017817371937639197,0.034934497816593885,0.4575645756457565,0.9973190348525469,0.627318718381113,372,1,441,8
608.1493,45.0,1.0,1,0.46228710462287104,0.017817371937639197,0.9973190348525469,0.6732267322673227,0.507568203395093,0.3311266080988534,0.8888888888888888,0.017817371937639197,0.034934497816593885,0.4575645756457565,0.9973190348525469,0.627318718381113,372,1,441,8
627.154,45.0,1.0,1,0.46228710462287104,0.015590200445434299,1.0,0.7288343558282209,0.5077951002227171,0.3293239411660464,1.0,0.015590200445434299,0.03070175438596491,0.45766871165644174,1.0,0.6279461279461279,373,0,442,7
636.6563,45.0,1.0,1,0.46228710462287104,0.015590200445434299,1.0,0.7288343558282209,0.5077951002227171,0.3293239411660464,1.0,0.015590200445434299,0.03070175438596491,0.45766871165644174,1.0,0.6279461279461279,373,0,442,7
646.1587,45.0,1.0,1,0.46228710462287104,0.015590200445434299,1.0,0.7288343558282209,0.5077951002227171,0.3293239411660464,1.0,0.015590200445434299,0.03070175438596491,0.45766871165644174,1.0,0.6279461279461279,373,0,442,7
655.661,45.0,1.0,1,0.46228710462287104,0.015590200445434299,1.0,0.7288343558282209,0.5077951002227171,0.3293239411660464,1.0,0.015590200445434299,0.03070175438596491,0.45766871165644174,1.0,0.6279461279461279,373,0,442,7
665.1633,45.0,1.0,1,0.46228710462287104,0.015590200445434299,1.0,0.7288343558282209,0.5077951002227171,0.3293239411660464,1.0,0.015590200445434299,0.03070175438596491,0.45766871165644174,1.0,0.6279461279461279,373,0,442,7
674.6657,45.0,1.0,1,0.46228710462287104,0.015590200445434299,1.0,0.7288343558282209,0.5077951002227171,0.3293239411660464,1.0,0.015590200445434299,0.03070175438596491,0.45766871165644174,1.0,0.6279461279461279,373,0,442,7
684.168,45.0,1.0,1,0.46228710462287104,0.015590200445434299,1.0,0.7288343558282209,0.5077951002227171,0.3293239411660464,1.0,0.015590200445434299,0.03070175438596491,0.45766871165644174,1.0,0.6279461279461279,373,0,442,7
693.6703,45.0,1.0,1,0.46228710462287104,0.015590200445434299,1.0,0.7288343558282209,0.5077951002227171,0.3293239411660464,1.0,0.015590200445434299,0.03070175438596491,0.45766871165644174,1.0,0.6279461279461279,373,0,442,7
703.1727,45.0,1.0,1,0.46228710462287104,0.015590200445434299,1.0,0.7288343558282209,0.5077951002227171,0.3293239411660464,1.0,0.015590200445434299,0.03070175438596491,0.45766871165644174,1.0,0.6279461279461279,373,0,442,7
712.675,45.0,1.0,1,0.4610705596107056,0.013363028953229399,1.0,0.7285539215686274,0.5066815144766147,0.3268958123457703,1.0,0.013363028953229399,0.026373626373626374,0.4571078431372549,1.0,0.6274179983179142,373,0,443,6
722.1773,45.0,1.0,1,0.4610705596107056,0.013363028953229399,1.0,0.7285539215686274,0.5066815144766147,0.3268958123457703,1.0,0.013363028953229399,0.026373626373626374,0.4571078431372549,1.0,0.6274179983179142,373,0,443,6
731.6797,45.0,1.0,1,0.4610705596107056,0.013363028953229399,1.0,0.7285539215686274,0.5066815144766147,0.3268958123457703,1.0,0.013363028953229399,0.026373626373626374,0.4571078431372549,1.0,0.6274179983179142,373,0,443,6
